EPS-Annual Basis,Ticker,Quarter-Year,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Payout_Ratio,Debt_Equity_Ratio,Quarter,Final_Rating
-3.112473545,AMRS,2013,-0.482756894,-35.8015327,4992523736,1.030946889,324.2530191,0,-2.470191625,4,0
-3.197121453,TLRY,2019,-0.357837938,-160.7191765,4869951767,-0.079338605,211.387784,0,1.818904483,1,0
1.133451957,SMG,2018,-5.01754386,31.99503022,4764060000,0.303382233,4.701065719,0.200134318,6.285044825,1,1
8.300900901,SMG,2019,-5.792418773,11.76883228,4666342000,0.642417369,3.921625347,0.078688525,5.410401815,1,1
0.027640272,AMRS,2014,-0.332902583,-128.698375,4570079296,0.255484168,491.0367783,0,-3.04435539,2,1
5.160392799,SMG,2016,9.585644372,21.37006106,4549686000,0.261901833,4.576688462,0.134805073,3.009964325,3,1
-8.5,NBEV,2015,8.45E-06,170,4466077000,0.121925927,3480.817643,0,0.81909371,2,0
5.160392799,SMG,2016,-4.845276873,-45,4445360000,0.311371039,3.723082077,0.136947218,4.456914421,2,1
1.133451957,SMG,2018,8.350442478,61.7,4376490000,0.157674772,4.400251357,0.353012048,5.770326748,2,1
5.160392799,SMG,2016,-5.767479675,-78.6,4214595000,-0.157648891,17.1534188,-0.356790123,4.308291164,1,1
2.880000002,TAP,2007,-1.960565907,123,4154309070,0.000744262,3.38130545,6.453142727,0.957452939,2,1
0.027640272,AMRS,2014,-0.129545096,167.9,4056644486,-0.146232868,671.5187033,0,-3.117050667,1,1
2.615384615,SMG,2015,-1.600654664,-161.69504,4042376000,-0.040277106,8.365844371,-1.156,3.071532141,3,1
2.615384615,SMG,2015,-6.489326765,32.2144382,4013919000,0.224060421,3.641403429,0.219903692,4.412335911,1,1
2.880000002,TAP,2007,2.508021937,21.17459908,3916517370,0.028548854,20.27844157,0.155139136,1.007806355,3,1
-3.197121453,TLRY,2019,-1.071533345,-111.6730068,3914473908,-0.097324297,85.27522455,0,1.84348927,2,0
2.702922078,SMG,2014,-4.629934211,-53.44569863,3901536000,-0.163384064,18.04595745,-0.375342466,4.069829902,4,1
1.133451957,SMG,2018,-4.450271248,-48.587,3838373000,-0.318163512,12.87612546,-0.384810127,11.98912606,4,1
1.133451957,SMG,2018,5.665480427,-25.95522449,3815418000,-0.414551607,8.793311823,-0.206802721,7.61393119,3,1
2.702922078,SMG,2014,-7.161290323,29.7955414,3742320000,0.185881308,3.483820518,0.21656051,3.545212372,1,1
2.61102107,SMG,2013,-3.600644122,-56.83583077,3694329000,-0.104619347,18.81022912,-0.42,2.475615645,4,1
2.702922078,SMG,2014,3.043831169,-180.78,3610376000,-0.027090482,7.947118644,-9.966666667,2.717355969,3,1
2.61102107,SMG,2013,2.94165316,-189.9710526,3609450000,-0.026741731,8.147742664,-1.426315789,1.726530612,3,1
2.615384615,SMG,2015,10.8147541,27.02473763,3605100000,0.196176471,2.967648996,0.206896552,3.438382353,2,1
-8.5,NBEV,2015,-0.017432929,-5.358698532,3579691000,-1349.219974,6.605936629,0,1.360696166,4,0
-0.408211372,AMRS,2016,-0.028257437,-181.2566102,3571661504,0.121348162,134.5511962,0,-1.61224628,3,0
1.970149254,SMG,2006,-3.28358209,-60.19779661,3551670000,-0.047542305,13.10579336,-0.13559322,0.161160355,4,1
0.027640272,AMRS,2014,-0.361885035,-94.93402489,3481420561,0.203726542,213.0481954,0,-2.436879882,3,1
4.193987198,TAP,2006,1.70182266,35.05874092,3479474860,0.0170605,2.272250756,-0.831360142,0.986577923,4,1
3.03030303,SMG,2005,-3.647058824,-64.78307692,3368720000,-0.044217687,13.52899598,-0.153846154,0.170068027,4,1
2.702922078,SMG,2014,10.26580227,27.4532046,3341055000,0.161149364,2.992704228,0.22021364,2.318855932,2,1
2.595054096,SMG,2011,-1.018292683,14.92229553,3302304000,0.288038527,1.365434774,0.22322639,2.289340102,3,1
-8.5,SMG,2010,-6.863636364,27.75384615,3247200000,0.073216521,2.278736842,0.068376068,0.578222778,2,0
2.595054096,SMG,2011,1.795981453,19.35576048,3232412000,0.298320829,7.747871524,0.110778443,2.665952126,3,1
-8.5,SMG,2010,-0.007090909,18.30375,3221460000,0.126346016,2.600048426,0.045454545,0.4005743,3,0
1.745901639,SMG,2012,-7.072607261,24.96415094,3175440000,0.2157029,2.70595654,0.143867925,4.205528235,1,1
-0.408211372,AMRS,2016,-0.11459001,-190.4,3170153314,0.097705441,359.7949511,0,-1.651699378,1,0
2.61102107,SMG,2013,11.02593193,20.81230094,3084383000,0.199784308,2.686510757,0.13562753,2.184551092,2,1
-3.112473545,AMRS,2013,-0.281054552,-79.12095782,3078912953,-1.867543312,283.7969354,0,8.734366751,2,0
-3.112473545,AMRS,2013,-0.331346889,-92.55515668,2990919888,-0.54435348,380.0889424,0,3.061518766,1,0
1.74000002,SMG,2007,-4.984848485,35.75927711,2968020000,0.221925134,2.988942598,6.265060241,7.13368984,1,1
