,EPS-Annual Basis,Ticker,Quarter-Year,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Debt_Equity_Ratio,Quarter,Final_Rating
113,3.8068854219999997,TAP,2010,1.515086207,36.36883642,8626688000,0.032466022000000004,9.766430431,0.6571631920000001,2,1
114,3.657652785,TAP,2011,1.00855615,38.60022442,8600130000,0.027358236,9.211793059,0.609089123,2,1
115,-0.815844846,TLRY,2018,-0.35971168200000003,-125.0,8392278184,-0.099407806,835.3018995,0.18970943199999998,3,0
116,3.9293478260000003,TAP,2009,1.891304348,43.50425532,8178800000,0.028143712999999997,10.24912281,0.651347305,2,1
117,3.8068854219999997,TAP,2010,0.33962264200000003,78.04832696,8163855000,0.014626507,12.35076399,0.6752663809999999,1,1
118,2.450221239,TAP,2012,0.35840708,136.0218667,8161312000,0.00753116,2.990915821,1.034944583,4,1
119,3.9293478260000003,TAP,2009,0.858695652,35.31479821,7875200000,0.031501625,9.592204629,0.6961435229999999,4,1
120,3.657652785,TAP,2011,0.841535965,45.41366051,7865646000,0.02264674,8.391812652999999,0.6244720770000001,4,1
121,2.450221239,TAP,2012,2.106253459,39.58277218,7853222000,0.024120994,6.568985362,1.0019573990000001,3,1
122,3.657652785,TAP,2011,1.491143317,39.44954407,7787340000,0.024996834,8.159409053,0.574002786,3,1
123,2.880000002,TAP,2007,1.6649181819999999,21.45331789,7777256801,0.050706417000000004,1.726290602,0.8753786159999999,4,1
124,2.450221239,TAP,2012,1.657807309,73.18509990000001,7691754000,0.013455728,7.696371823,1.078749936,2,1
125,2.1318681319999997,TAP,2008,0.08791208800000001,78.16618557,7582120000,0.016220736,10.25997294,0.7401337790000001,4,1
126,2.450221239,TAP,2012,0.092068774,94.30030189,7496874000,0.010182778,10.84303442,0.59289383,1,1
127,-8.5,SMG,2020,-5.321364452,28.39551546,7161349000,0.319361783,5.17887547,4.237052045,1,0
128,2.1318681319999997,TAP,2008,1.2912087909999999,40.86057803,7068880000,0.024233086,7.675222584,0.724331139,3,1
129,-5.578745861,AMRS,2010,-1.645524507,-103.7,6929656138,-0.083421667,233.0941551,0.162268409,4,0
130,3.9293478260000003,TAP,2009,0.021857922999999998,12.67,6670350000,0.012518531000000001,11.93264758,0.629715039,1,1
131,-0.815844846,TLRY,2018,-0.425914306,-128.09,6431588147,-0.156886058,414.11294489999995,2.322322454,4,0
132,-4.007026398,AMRS,2011,-0.596619714,-105.25133729999999,6276347746,-0.37026550399999997,151.0953019,0.987625115,4,0
133,3.675084175,SMG,2017,-3.9913194439999997,-107.7,6172992000,-0.04176611,27.86903837,4.789180589,4,1
134,3.675084175,SMG,2017,4.107744108,-130.78,5869314000,-0.052404439000000004,51.53041264,3.2339704069999997,3,1
